observation_date,NAEXKP01ATQ189S,NAEXKP01BEQ189S,NAEXKP01FIQ189S,NAEXKP01FRQ189S,NAEXKP01DEQ189S,NAEXKP01IEQ189S,NAEXKP01ITQ189S,NAEXKP01NLQ189S,NAEXKP01PTQ652S,NAEXKP01ESQ652S
1999-01-01,66274307846.00000,77841000000,41415000000.000000,431609700000.00000,614825330000,34215514819.000000,395042700000,136661640000.00000,42260839000,204122000000.00000
1999-04-01,67125376192.00001,78906000000,41635000000.000000,434272700000.00000,614825330000,34477231489.000000,396552500000,138182550000.00000,42481485000,206556000000.00000
1999-07-01,68254080044.00001,80052000000,41857000000.000000,440783000000.00000,621634070000,35828289697.000000,400092600000,140085640000.00000,42897973000,209304000000.00000
1999-10-01,68473743828.00000,81000000000,42214000000.000000,446693200000.00000,626778410000,36643227585.000000,405647900000,142056470000.00000,43144352000,211652000000.00000
2000-01-01,69131045857.00000,81576000000,43473000000.000000,450411000000.00000,635724760000,37039778415.000000,410634900000,142941070000.00000,44104516000,215049000000.00000
2000-04-01,69631439650.00000,82163000000,43808000000.000000,455030800000.00000,640869250000,38059531528.000000,413416900000,144537440000.00000,43871429000,217755000000.00000
2000-07-01,70049630870.00000,82544000000,44494000000.000000,458879300000.00000,640566640000,38877169413.000000,416296300000,145730110000.00000,44514086000,220107000000.00000
2000-10-01,70993745812.00000,83351000000,44967000000.000000,461581000000.00000,638675260000,39110502701.000000,422772700000,147624207214.00000,44812064000,222349000000.00000
2001-01-01,70818954060.00000,83398000000,45187000000.000000,463710200000.00000,651517590000,39747977004.000000,424978100000,147784410000.00000,44671944000,224721000000.00000
2001-04-01,70648843072.00000,83413000000,45241000000.000000,464480100000.00000,651290640000,40505739863.000000,423795400000,148531710000.00000,45104121000,226396000000.00000
2001-07-01,70695463149.00000,83254000000,45527000000.000000,467462100000.00000,649928890000,40355278468.000000,422049900000,148789840000.00000,45170127000,228506000000.00000
2001-10-01,71021644415.00000,83171000000,45399000000.000000,465409800000.00000,649323650000,41139314691.000000,421286900000,149269710000.00000,45802075000,230061000000.00000
2002-01-01,71754552848.00000,83886000000,45696000000.000000,468154200000.00000,645994960000,41744550801.000000,422232300000,148358896120.00000,45883515000,231052000000.00000
2002-04-01,72066885857.00000,84604000000,46148000000.000000,470088000000.00000,648794070000,42325370692.000000,423723400000,148875576120.00000,45670622000,232949000000.00000
2002-07-01,72299999567.00000,85057000000,46040000000.000000,472409200000.00000,651971480000,43079739082.000000,424483700000,149106726120.00000,45463460000,234386000000.00000
2002-10-01,71970523819.00000,85375000000,46564000000.000000,472363200000.00000,651063660000,43798313715.000000,425887300000,149329866120.00000,45124102000,236140000000.00000
2003-01-01,72516003708.00000,85150000000,46235000000.000000,472823900000.00000,641398850000,43508471116.000000,424612500000,149355766120.00000,45171510000,238352000000.00000
2003-04-01,72582038277.00000,85332000000,46900000000.000000,471623300000.00000,642079740000,43895058161.000000,424162100000,148839996120.00000,44770043000,239608000000.00000
2003-07-01,72800708534.00000,85681000000,47461000000.000000,476186400000.00000,646997280000,44065559395.000000,423873600000,148972036120.00000,45167319000,241189000000.00000
